序号|SERIAL,代码|SECURITY_CODE,名称|SECURITY_SHORT_NAME,市场简称|MARKET_SHORT_NAME,最新价|NEWEST_PRICE|2026.05.15|元,涨跌幅|CHG|2026.05.15|%,市场码|MARKET_NUM,上市板块|TRADEMARKET,是否ST|IFSTSTOCK{2026-05-15}|2026.05.15,证券类型|SECURITYTYPE,13日均线(季线)|13日JX<100>{2026-05-15}|2026.05.15|元,21日均线(季线)|21日JX<100>{2026-05-15}|2026.05.15|元,34日均线(季线)|34日JX<100>{2026-05-15}|2026.05.15|元,收盘价(季线)|NEWEST_PRICE<100>|2026.05.15|元,总市值(日线不复权)|TOAL_MARKET_VALUE<140>|2026.05.15|元,收盘价(日线不复权)|NEWEST_PRICE<140>|2026.05.15|元,市盈率(TTM)(倍)|PETTM{2026-05-15}|2026.05.15|倍,市净率(倍)|PB|2026.05.15|倍,市盈率百分位|PE_TTM_PERCENTILE{2026-05-15}|2026.05.15|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-14}|2026.05.14|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-13}|2026.05.13|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-12}|2026.05.12|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-11}|2026.05.11|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-15}|2026.05.15|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-14}|2026.05.14|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-13}|2026.05.13|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-12}|2026.05.12|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-11}|2026.05.11|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-15}|2026.05.15|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-14}|2026.05.14|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-13}|2026.05.13|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-12}|2026.05.12|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-11}|2026.05.11|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-29}|2026.04.29|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-28}|2026.04.28|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-27}|2026.04.27|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-24}|2026.04.24|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-15}|2025.07.15|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-14}|2025.07.14|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-11}|2025.07.11|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-10}|2025.07.10|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-13}|2025.06.13|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-12}|2025.06.12|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-11}|2025.06.11|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-10}|2025.06.10|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-03}|2025.06.03|%,股息率(近12个月)|DIVIDENDYIELDY{2025-05-30}|2025.05.30|%,股息率(近12个月)|DIVIDENDYIELDY{2025-05-29}|2025.05.29|%,股息率(近12个月)|DIVIDENDYIELDY{2025-05-28}|2025.05.28|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-06}|2021.08.06|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-05}|2021.08.05|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-04}|2021.08.04|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-03}|2021.08.03|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-16}|2021.07.16|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-15}|2021.07.15|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-14}|2021.07.14|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-13}|2021.07.13|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-24}|2020.07.24|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-23}|2020.07.23|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-22}|2020.07.22|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-21}|2020.07.21|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-31}|2019.05.31|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-30}|2019.05.30|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-29}|2019.05.29|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-28}|2019.05.28|%,销售毛利率|XSMLL{2025-12-31}|2025.12.31|%,销售毛利率|XSMLL{2024-12-31}|2024.12.31|%,销售毛利率|XSMLL{2023-12-31}|2023.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2025-12-31}|2025.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2024-12-31}|2024.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2023-12-31}|2023.12.31|%,营业收入同比增长率(%)|营业收入[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,营业收入|OPERATEREVE{2025-12-31}|2025.12.31|元,营业收入|OPERATEREVE{2024-12-31}|2024.12.31|元,营业收入|OPERATEREVE{2023-12-31}|2023.12.31|元,营业收入|OPERATEREVE{2022-12-31}|2022.12.31|元,归属母公司股东的净利润同比增长率(%)|归属母公司股东的净利润[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,归属净利润|PARENT_NETPROFIT{2025-12-31}|2025.12.31|元,归属净利润|PARENT_NETPROFIT{2024-12-31}|2024.12.31|元,归属净利润|PARENT_NETPROFIT{2023-12-31}|2023.12.31|元,归属净利润|PARENT_NETPROFIT{2022-12-31}|2022.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2025-12-31}|2025.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2024-12-31}|2024.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2023-12-31}|2023.12.31|元,资产负债率|DEBT_ASSET_RATIO{2026-05-16}|截至2026.05.16最新|%,有息负债率|INTERESTDEBTRATIO{2026-05-16}|截至2026.05.16最新|%,东财行业分类二级|INDUSTRY,东财行业总分类|INDUSTRY_ALL,申万行业分类|SW_INDUSTRY,概念|STYLE_CONCEPT,主营业务|MAIN_BUSINESS,收盘价(季线不复权)|NEWEST_PRICE<170>|2026.05.15|元,涨跌幅(季线)|CHG<100>|2026.05.15|%,涨跌幅(季线)|CHG<100>{2026-03-31}|2026.03.31|%,涨跌幅(季线)|CHG<100>{2025-12-31}|2025.12.31|%,涨跌幅(季线)|CHG<100>{2025-12-29}|2025.12.29|%,涨跌幅(季线)|CHG<100>{2025-09-30}|2025.09.30|%,成交额(季线)|TRADING_VOLUMES<100>|2026.05.15|元,成交额(季线)|TRADING_VOLUMES<100>{2026-03-31}|2026.03.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-12-31}|2025.12.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-12-29}|2025.12.29|元,成交额(季线)|TRADING_VOLUMES<100>{2025-09-30}|2025.09.30|元,换手率(季线)|TURNOVER_RATE<100>|2026.05.15|%,换手率(季线)|TURNOVER_RATE<100>{2026-03-31}|2026.03.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-12-31}|2025.12.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-12-29}|2025.12.29|%,换手率(季线)|TURNOVER_RATE<100>{2025-09-30}|2025.09.30|%,成交量(股)(季线)|VOLUME<100>{2025-12-31}|2025.12.31|股,成交量(股)(季线)|VOLUME<100>{2025-12-29}|2025.12.29|股,成交量(股)(季线)|VOLUME<100>{2025-09-30}|2025.09.30|股,成交量(股)(季线)|VOLUME<100>{2025-06-30}|2025.06.30|股,成交量(股)(季线)|VOLUME<100>{2025-03-31}|2025.03.31|股,涨跌额|PCHG|2026.05.15|元,最高价(日线不复权)|PEAK_PRICE<140>|2026.05.15|元,最低价(日线不复权)|BOTTOM_PRICE<140>|2026.05.15|元,换手率|TURNOVER_RATE|2026.05.15|%,量比|QRR|2026.05.15,成交量(股)|VOLUME|2026.05.15|股,成交额|TRADING_VOLUMES|2026.05.15|元,市盈率(动)(倍)|PE_DYNAMIC|2026.05.15|倍,流通市值(日线不复权)|CIRCULATION_MARKET_VALUE<140>|2026.05.15|元,IN_OPTIONAL,XSMLL{2023-12-31|2025-12-31|3|四季度}
48,000963,华东医药,SZ,31.30,-4.57,0,深交所主板,否,A股,36.02,37.03,32.56,31.30,548.92亿,31.30,15.68,2.13,3.00,4.52,5.28,5.66,5.48,0.02,0.24,0.36,0.52,0.46,2.97,2.84,2.80,2.77,2.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.36|2025年报,33.21|2024年报,32.40|2023年报,14.28|2025年报,15.93|2024年报,13.96|2023年报,4.07,436.12亿|2025年报,419.06亿|2024年报,406.24亿|2023年报,377.15亿|2022年报,-2.78,34.14亿|2025年报,35.12亿|2024年报,28.39亿|2023年报,24.99亿|2022年报,42.46亿|2025年报,37.49亿|2024年报,39.29亿|2023年报,34.63|2026一季报,15.63|2026一季报,化学制药,医药生物-化学制药-化学制剂,医药生物-化学制药-化学制剂,【HS300_】【MSCI中国】【中药概念】【人工智能】【内贸流通】【冷链物流】【减肥药】【创新药】【医疗器械概念】【医美概念】【单抗概念】【合成生物】【大盘股】【富时罗素】【新消费】【机构重仓】【标准普尔】【深成500】【深股通】【深证100R】【融资融券】【证金持股】【长江三角】,"业务覆盖医药全产业链,拥有医药工业、医药商业、医美、工业微生物四大业务板块,已发展成为集医药研发、生产、经销为一体的大型综合性医药上市公司",31.30,-11.38,-10.47,-5.05,-,3.85,132.65亿,207.20亿,188.03亿,-,385.44亿,21.93,32.31,26.16,-,51.00,4.59亿,-,8.94亿,9.62亿,5.84亿,-1.50,32.78,31.06,1.18,1.52,2066.39万,6.58亿,13.69,548.69亿,false,
49,300760,迈瑞医疗,SZ,160.37,-0.54,0,深交所创业板,否,A股,239.59,272.81,-,160.37,1944.39亿,160.37,24.81,4.85,8.92,9.69,13.34,13.51,14.94,0.60,0.87,1.09,1.09,1.20,2.89,2.87,2.79,2.78,2.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.32|2025年报,63.11|2024年报,64.18|2023年报,21.58|2025年报,32.58|2024年报,33.64|2023年报,-9.38,332.82亿|2025年报,367.26亿|2024年报,349.32亿|2023年报,303.66亿|2022年报,-30.28,81.36亿|2025年报,116.68亿|2024年报,115.82亿|2023年报,96.07亿|2022年报,101.45亿|2025年报,124.32亿|2024年报,110.62亿|2023年报,24.77|2026一季报,2.32|2026一季报,医疗器械,医药生物-医疗器械-医疗设备,医药生物-医疗器械-医疗设备,【HS300_】【MSCI中国】【体外诊断概念】【养老金】【创业成份】【创业板综】【医疗器械概念】【大盘价值】【大盘股】【宁组合】【富时罗素】【权重股】【深圳特区】【深成500】【深股通】【深证100R】【独角兽】【百元股】【精准诊断】【茅指数】【融资融券】【行业龙头】,"医疗器械的研发、制造、营销及服务,始终以客户需求为导向,致力于为全球医疗机构提供优质的产品、服务和解决方案",160.37,-2.61,-13.54,-22.06,-,10.02,429.27亿,827.35亿,860.17亿,-,1288.37亿,21.72,36.05,33.82,-,45.13,4.10亿,-,5.47亿,3.50亿,2.95亿,-0.87,163.10,160.07,0.58,0.81,701.37万,11.33亿,20.87,1942.72亿,false,
50,001979,招商蛇口,SZ,9.07,-1.95,0,深交所主板,否,A股,9.74,10.75,12.37,9.07,817.75亿,9.07,132.44,0.84,99.72,99.76,99.88,99.92,99.96,8.90,10.93,14.43,16.23,16.79,2.14,2.10,2.03,2.01,2.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.76|2025年报,14.61|2024年报,15.89|2023年报,0.73|2025年报,3.36|2024年报,6.04|2023年报,-13.53,1547.28亿|2025年报,1789.48亿|2024年报,1750.08亿|2023年报,1830.03亿|2022年报,-74.65,10.24亿|2025年报,40.39亿|2024年报,63.19亿|2023年报,42.64亿|2022年报,96.93亿|2025年报,319.64亿|2024年报,314.31亿|2023年报,67.20|2026一季报,44.35|2026一季报,房地产开发,房地产-房地产开发-商业地产,房地产-房地产开发-商业地产,【2025年报预减】【HS300_】【MSCI中国】【REITs概念】【一带一路】【免税概念】【养老概念】【周期股】【大盘价值】【大盘股】【央国企改革】【富时罗素】【微利股】【机构重仓】【标准普尔】【深圳特区】【深成500】【深股通】【深证100R】【破净股】【破发股】【破增发价股】【租售同权】【粤港自贸】【融资融券】【雄安新区】【零售概念】,"开发业务主营以住宅为主的可售型商品房的开发与销售,此外还包括代建业务;资产运营业务包括集中商业、产业办公、公寓酒店等持有物业运营与资产管理以及会展和邮轮业务;物业服务业务包括基础物业管理、平台增值服务及专业增值服务等",9.07,7.85,-2.66,-15.04,-,18.53,158.75亿,379.27亿,293.24亿,-,416.92亿,21.50,46.36,37.00,-,53.55,31.13亿,-,45.29亿,34.09亿,36.66亿,-0.18,9.29,8.99,0.64,0.63,5343.96万,4.88亿,522.61,763.11亿,false,
51,000596,古井贡酒,SZ,97.62,-3.38,0,深交所主板,否,A股,178.26,198.60,165.75,97.62,516.02亿,97.62,18.26,1.98,16.40,17.46,16.89,17.61,18.05,10.92,11.37,11.13,11.55,11.97,6.15,5.94,6.04,5.85,5.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.26|2025年报,79.90|2024年报,79.07|2023年报,14.28|2025年报,23.89|2024年报,22.92|2023年报,-20.13,188.32亿|2025年报,235.78亿|2024年报,202.54亿|2023年报,167.13亿|2022年报,-35.67,35.49亿|2025年报,55.17亿|2024年报,45.89亿|2023年报,31.43亿|2022年报,19.47亿|2025年报,47.28亿|2024年报,44.96亿|2023年报,32.97|2026一季报,4.43|2026一季报,白酒Ⅱ,食品饮料-白酒Ⅱ-白酒Ⅲ,食品饮料-白酒Ⅱ-白酒Ⅲ,【AB股】【HS300_】【MSCI中国】【味蕾经济】【大盘价值】【大盘股】【央国企改革】【央视50_】【富时罗素】【机构重仓】【标准普尔】【深成500】【深股通】【深证100R】【白酒】【破增发价股】【融资融券】【酿酒概念】,白酒的生产和销售,97.62,-5.09,-21.85,-17.53,-,20.76,92.34亿,258.84亿,261.70亿,-,351.40亿,21.38,50.51,41.36,-,56.24,1.69亿,-,2.30亿,1.67亿,1.62亿,-3.42,101.00,97.18,0.81,0.94,332.71万,3.27亿,8.03,398.88亿,false,
52,600760,中航沈飞,SH,47.29,-1.27,1,上交所主板,否,A股,47.92,45.71,35.42,47.29,1340.72亿,47.29,41.23,5.64,55.51,56.16,57.52,58.38,57.88,57.88,58.30,59.36,59.98,59.58,0.83,0.82,0.80,0.79,0.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.70|2025年报,12.47|2024年报,10.95|2023年报,18.35|2025年报,20.20|2024年报,20.96|2023年报,4.25,446.56亿|2025年报,428.37亿|2024年报,462.48亿|2023年报,415.98亿|2022年报,3.65,35.18亿|2025年报,33.94亿|2024年报,30.07亿|2023年报,23.05亿|2022年报,-22.86亿|2025年报,-37.42亿|2024年报,-43.93亿|2023年报,64.61|2026一季报,0.16|2026一季报,航空装备Ⅱ,国防军工-航空装备Ⅱ-航空装备Ⅲ,国防军工-航空装备Ⅱ-航空装备Ⅲ,【HS300_】【MSCI中国】【上证180_】【上证50_】【军工】【军民融合】【大盘股】【大飞机】【央国企改革】【安防概念】【富时罗素】【无人机】【机构重仓】【标准普尔】【沪股通】【破增发价股】【航天航空】【融资融券】【行业龙头】,航空产品制造,47.29,-3.69,-12.34,-21.87,-,22.59,297.53亿,843.64亿,837.23亿,-,1499.78亿,21.36,52.63,49.93,-,88.54,13.72亿,-,24.33亿,19.53亿,9.50亿,-0.61,47.89,47.13,0.57,0.51,1619.33万,7.68亿,203.19,1338.10亿,false,
53,601390,中国中铁,SH,5.00,-0.79,1,上交所主板,否,A股,5.80,5.49,5.34,5.00,1234.31亿,5.00,5.82,0.38,30.71,31.25,32.42,32.87,33.21,0.00,0.00,0.09,0.09,0.11,5.21,5.17,5.10,5.08,5.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.34|2025年报,9.80|2024年报,10.01|2023年报,6.72|2025年报,9.09|2024年报,11.81|2023年报,-5.77,1.09万亿|2025年报,1.16万亿|2024年报,1.26万亿|2023年报,1.15万亿|2022年报,-17.91,228.92亿|2025年报,278.87亿|2024年报,334.83亿|2023年报,312.73亿|2022年报,287.72亿|2025年报,280.51亿|2024年报,383.63亿|2023年报,77.46|2026一季报,33.39|2026一季报,基础建设,建筑装饰-基础建设-基建市政工程,建筑装饰-基础建设-基建市政工程,【AH股】【HS300_】【MSCI中国】【PPP模式】【一带一路】【上证180_】【中字头】【中特估】【化债(AMC)概念】【参股券商】【大盘价值】【大盘股】【央国企改革】【富时罗素】【小金属概念】【工程建设】【工程机械概念】【标准普尔】【水利建设】【沪股通】【破净股】【破增发价股】【磁悬浮概念】【融资融券】【装配建筑】【证金持股】【铁路基建】【长期破净】,"工程建造业务,设计咨询业务,装备制造业务,特色地产业务,资产经营业务,资源利用业务,金融物贸业务,新兴业务",5.00,-7.92,0.37,-0.37,-,1.50,226.50亿,1243.17亿,342.75亿,-,438.39亿,21.21,105.54,29.68,-,37.37,60.76亿,-,76.51亿,40.73亿,42.36亿,-0.04,5.06,4.99,0.79,1.09,1.61亿,8.07亿,7.08,1023.94亿,false,
54,600741,华域汽车,SH,17.68,-1.01,1,上交所主板,否,A股,17.19,17.61,17.78,17.68,557.40亿,17.68,7.77,0.82,12.69,13.76,14.87,15.26,15.46,0.40,0.56,0.86,0.92,0.93,4.52,4.48,4.43,4.42,4.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.30|2025年报,12.14|2024年报,13.14|2023年报,11.16|2025年报,11.19|2024年报,13.03|2023年报,8.49,1839.99亿|2025年报,1696.04亿|2024年报,1685.94亿|2023年报,1582.68亿|2022年报,7.51,72.07亿|2025年报,67.04亿|2024年报,72.14亿|2023年报,72.03亿|2022年报,95.23亿|2025年报,82.29亿|2024年报,113.16亿|2023年报,62.12|2026一季报,16.28|2026一季报,汽车零部件,汽车-汽车零部件-车身附件及饰件,汽车-汽车零部件-车身附件及饰件,【HS300_】【MSCI中国】【上证180_】【价值股】【养老金】【参股券商】【周期股】【固态电池】【大盘价值】【大盘股】【央国企改革】【富时罗素】【小米汽车】【新能源车】【无人驾驶】【机构重仓】【标准普尔】【毫米波概念】【沪企改革】【沪股通】【特斯拉概念】【电池技术】【破净股】【融资融券】【证金持股】【长期破净】,包括汽车等交通运输车辆和工程机械的零部件及其总成的设计、研发和销售等,17.68,-7.96,-3.95,-2.44,-,21.66,125.98亿,158.61亿,161.68亿,-,268.35亿,20.60,25.98,25.53,-,43.56,8.05亿,-,13.73亿,7.47亿,7.79亿,-0.18,17.98,17.59,0.71,0.88,2246.42万,3.99亿,11.20,557.40亿,false,
55,601901,方正证券,SH,7.01,-1.41,1,上交所主板,否,A股,7.64,7.44,7.31,7.01,577.07亿,7.01,13.54,1.10,0.98,1.17,1.51,1.65,1.57,0.50,0.87,1.31,1.48,1.40,1.86,1.83,1.80,1.79,1.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.01|2025年报,4.72|2024年报,4.88|2023年报,36.08,105.04亿|2025年报,77.18亿|2024年报,71.19亿|2023年报,77.77亿|2022年报,79.85,39.70亿|2025年报,22.07亿|2024年报,21.52亿|2023年报,21.48亿|2022年报,10.66亿|2025年报,3.29亿|2024年报,-83.11亿|2023年报,82.68|2026一季报,-,证券Ⅱ,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,【2025年报预增】【HS300_】【MSCI中国】【上证180_】【互联网金融】【券商概念】【参股银行】【周期股】【大盘股】【富时罗素】【机构重仓】【标准普尔】【沪股通】【融资融券】【证金持股】,财富管理、投资与交易、资产管理、投资银行、研究服务等五大板块,7.01,3.24,-12.84,-3.47,-,3.73,118.66亿,342.62亿,388.05亿,-,526.93亿,20.36,53.78,58.45,-,76.78,48.12亿,-,63.21亿,25.83亿,31.54亿,-0.10,7.13,6.97,0.85,1.24,6975.18万,4.91亿,9.71,577.07亿,false,-
56,002415,海康威视,SZ,33.12,-0.99,0,深交所主板,否,A股,30.60,34.73,33.05,33.12,3035.41亿,33.12,20.32,3.83,8.83,9.68,15.16,15.50,21.06,6.20,7.05,8.76,9.02,10.47,3.33,3.29,3.19,3.19,3.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.88|2025年报,43.83|2024年报,44.33|2023年报,17.30|2025年报,15.34|2024年报,19.64|2023年报,0.01,925.08亿|2025年报,924.96亿|2024年报,893.41亿|2023年报,831.66亿|2022年报,18.52,141.95亿|2025年报,119.77亿|2024年报,141.08亿|2023年报,128.38亿|2022年报,253.39亿|2025年报,132.64亿|2024年报,166.22亿|2023年报,30.26|2026一季报,16.25|2026一季报,计算机设备,计算机-计算机设备-安防设备,计算机-计算机设备-安防设备,【AI应用】【HS300_】【MSCI中国】【中特估】【云计算】【人工智能】【光纤概念】【大数据】【大盘股】【央国企改革】【央视50_】【存储芯片】【安防概念】【无人机】【无人驾驶】【智慧城市】【机器人概念】【权重股】【标准普尔】【深成500】【深股通】【深证100R】【物联网】【生物识别】【茅指数】【虚拟现实】【融资融券】【行业龙头】【证金持股】【超清视频】【车联网(车路云)】【边缘计算】【长江三角】,"安防视频监控产品研发、生产和销售,产品包括硬盘录像机(DVR)、视音频编解码卡等数据存储及处理设备,以及监控摄像机、监控球机、视频服务器(DVS)等视音频信息采集处理设备。",33.12,8.88,1.94,-4.11,-,13.87,620.89亿,967.21亿,1115.93亿,-,1216.08亿,20.19,33.94,38.48,-,45.15,34.81亿,-,40.85亿,18.12亿,26.92亿,-0.33,34.08,33.02,0.68,0.83,6185.46万,20.74亿,27.29,2996.17亿,false,
57,002311,海大集团,SZ,47.60,-0.04,0,深交所主板,否,A股,48.98,54.06,47.18,47.60,783.20亿,47.60,20.16,3.08,9.28,9.29,6.96,7.39,7.97,6.38,6.43,4.56,4.83,5.31,2.76,2.76,2.88,2.86,2.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.33|2025年报,11.31|2024年报,8.47|2023年报,17.42|2025年报,20.88|2024年报,14.53|2023年报,12.10,1284.68亿|2025年报,1146.01亿|2024年报,1161.17亿|2023年报,1047.15亿|2022年报,-4.97,42.80亿|2025年报,45.04亿|2024年报,27.41亿|2023年报,29.57亿|2022年报,62.60亿|2025年报,79.96亿|2024年报,126.98亿|2023年报,48.98|2026一季报,22.37|2026一季报,饲料,农林牧渔-饲料-水产饲料,农林牧渔-饲料-水产饲料,【HS300_】【MSCI中国】【大盘股】【富时罗素】【标准普尔】【水产概念】【深成500】【深股通】【深证100R】【猪肉概念】【融资融券】【行业龙头】,饲料、饲料原料贸易、动保、畜禽和水产养殖及肉食屠宰加工等业务,47.60,-4.44,-10.06,-13.16,-,9.21,155.79亿,264.38亿,249.95亿,-,319.78亿,19.63,29.79,26.43,-,32.41,4.39亿,-,5.39亿,6.18亿,3.66亿,-0.02,48.25,46.22,0.77,0.73,1260.37万,6.00亿,22.07,782.62亿,false,
58,601788,光大证券,SH,14.95,-1.84,1,上交所主板,否,A股,16.43,15.51,14.22,14.95,689.31亿,14.95,16.93,1.11,15.51,16.20,17.21,17.46,17.39,10.71,11.55,13.49,14.09,14.04,1.46,1.43,1.40,1.40,1.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.58|2025年报,4.58|2024年报,6.91|2023年报,13.06,108.52亿|2025年报,95.98亿|2024年报,100.31亿|2023年报,107.80亿|2022年报,21.77,37.24亿|2025年报,30.58亿|2024年报,42.71亿|2023年报,31.89亿|2022年报,139.07亿|2025年报,363.82亿|2024年报,155.81亿|2023年报,76.84|2026一季报,-,证券Ⅱ,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,【AH股】【HS300_】【MSCI中国】【上证180_】【互联网金融】【券商概念】【参股期货】【周期股】【大盘股】【央国企改革】【富时罗素】【机构重仓】【标准普尔】【沪股通】【破发股】【融资融券】【证金持股】【长江三角】,财富管理业务集群、企业融资业务集群、机构客户业务集群、投资交易业务集群、资产管理业务集群及股权投资业务集群,14.95,-1.90,-13.16,-6.20,-,5.35,117.13亿,245.81亿,333.43亿,-,807.66亿,19.61,37.06,46.53,-,108.50,18.18亿,-,42.39亿,21.04亿,18.60亿,-0.28,15.24,14.82,0.85,0.97,3313.65万,4.97亿,14.78,584.05亿,false,-
59,600674,川投能源,SH,14.99,-0.33,1,上交所主板,否,A股,15.43,13.71,11.19,14.99,730.70亿,14.99,15.45,1.58,27.91,28.24,30.90,31.31,30.16,10.61,11.03,13.73,14.36,12.91,2.67,2.66,2.60,2.59,2.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.70|2025年报,51.18|2024年报,46.37|2023年报,10.97|2025年报,11.10|2024年报,12.63|2023年报,3.65,16.68亿|2025年报,16.09亿|2024年报,14.82亿|2023年报,14.20亿|2022年报,5.47,47.54亿|2025年报,45.08亿|2024年报,44.00亿|2023年报,35.15亿|2022年报,7.63亿|2025年报,8.79亿|2024年报,5.96亿|2023年报,32.63|2026一季报,83.19|2026一季报,电力,公用事业-电力-水力发电,公用事业-电力-水力发电,【HS300_】【MSCI中国】【上证180_】【光纤概念】【大盘股】【央国企改革】【富时罗素】【成渝特区】【机构重仓】【标准普尔】【沪股通】【绿色电力】【融资融券】【西部大开发】【证金持股】,"投资开发、经营管理清洁能源为主业,研发、生产、销售轨道交通电气自动化系统,生产经营光纤光缆等高新技术产品。",14.99,0.67,7.12,-2.66,-,-8.70,133.09亿,250.92亿,171.25亿,-,253.67亿,18.14,34.77,23.95,-,34.02,11.67亿,-,16.58亿,11.98亿,12.53亿,-0.05,15.12,14.73,0.67,0.87,3246.28万,4.85亿,12.58,730.70亿,false,
